convert_value,full_price,bond_nm,convert_dt
225.66,184.050,特发转债,2019-05-22
121.53,100.000,伊力转债,2019-09-23
126.64,122.467,长青转2,2019-09-05
162.68,144.151,冰轮转债,2019-07-18
186.23,158.600,凯龙转债,2019-06-27
160.75,140.840,佳都转债,2019-06-25
127.47,122.000,溢利转债,2019-06-26
124.60,118.901,富祥转债,2019-09-09
113.34,100.000,精测转债,2019-10-08
135.55,129.910,贵广转债,2019-09-11
123.25,119.240,华源转债,2019-06-03
129.96,122.020,尚荣转债,2019-08-20
159.47,151.081,洲明转债,2019-05-13
118.28,117.350,联泰转债,2019-07-29
104.27,100.000,启明转债,2019-10-08
101.80,100.000,百姓转债,2019-10-08
166.89,155.460,百合转债,2019-05-14
107.59,100.000,中鼎转2,2019-09-16
102.85,100.000,参林转债,2019-10-10
107.45,100.000,拓邦转债,2019-09-16
117.24,100.000,亚药转债,2019-10-09
103.20,100.000,未来转债,2019-10-11
179.15,178.131,康泰转债,2018-08-07
135.82,135.280,天马转债,2018-10-23
111.92,100.000,海环转债,2019-10-09
128.18,127.790,景旺转债,2019-01-12
130.39,127.700,圆通转债,2019-05-27
106.74,100.000,现代转债,2019-10-08
139.26,138.950,鼎信转债,2018-10-20
110.96,100.000,迪森转债,2019-09-27
119.52,118.050,维格转债,2019-07-30
129.06,129.019,万顺转债,2019-01-26
133.33,133.230,蓝盾转债,2019-02-18
160.47,159.800,盛路转债,2019-01-23
134.72,134.400,常熟转债,2018-07-25
135.27,135.200,蓝标转债,2016-06-27
125.27,124.810,长久转债,2019-05-13
116.87,116.460,科森转债,2019-05-22
110.53,100.000,通威转债,2019-09-22
99.59,100.000,亨通转债,2019-09-25
101.60,100.000,中装转债,2019-09-27
97.00,100.000,招路转债,2019-09-30
107.31,100.000,岱勒转债,2019-09-27
96.55,100.000,长信转债,2019-09-22
91.65,109.460,苏银转债,2019-09-20
97.21,108.300,小康转债,2018-05-11
99.70,112.400,无锡转债,2018-08-05
92.65,100.000,大丰转债,2019-10-08
99.85,111.301,凯中转债,2019-02-03
99.34,110.310,迪龙转债,2018-07-03
94.61,108.760,泰晶转债,2018-06-21
97.55,113.523,中宠转债,2019-08-22
97.42,111.000,新泉转债,2018-12-10
95.34,109.100,杭电转债,2018-09-12
92.03,113.080,千禾转债,2018-12-26
98.53,116.680,艾华转债,2018-09-08
92.19,108.400,光华转债,2019-06-20
90.25,111.123,敖东转债,2018-09-19
91.38,110.820,新凤转债,2018-11-05
95.96,117.725,15国资EB,2016-12-08
97.26,119.240,雨虹转债,2018-03-29
93.62,115.000,水晶转债,2018-05-23
88.64,107.851,18中化EB,2019-04-25
85.07,105.960,永东转债,2017-10-23
85.10,109.180,中信转债,2019-09-09
86.05,111.010,九州转债,2016-07-21
91.51,115.950,济川转债,2018-05-17
84.54,107.220,再升转债,2018-12-25
90.76,113.360,利尔转债,2019-04-23
86.36,112.500,博世转债,2019-01-11
80.48,107.000,海澜转债,2019-01-19
90.17,115.600,太阳转债,2018-06-28
81.78,103.159,17宝武EB,2018-11-29
84.73,108.900,格力转债,2015-06-30
83.45,113.993,大族转债,2018-08-13
84.80,113.300,广汽转债,2016-07-22
72.60,104.060,岩土转债,2018-09-21
79.42,110.200,金禾转债,2018-08-07
73.45,100.045,众兴转债,2018-06-19
73.57,107.641,双环转债,2018-06-29
69.83,104.170,嘉澳转债,2018-05-17
72.71,107.200,久其转债,2017-12-15
73.25,112.999,众信转债,2018-06-07
69.86,107.550,林洋转债,2018-05-03
69.30,110.540,赣锋转债,2018-06-27
71.68,114.870,航信转债,2015-12-14
61.45,109.503,时达转债,2018-05-10
54.05,101.897,17山高EB,2018-04-26
52.07,100.041,模塑转债,2017-12-08
58.19,105.320,顺昌转债,2016-07-29
86.33,107.000,蓝思转债,2018-06-14
39.08,100.600,洪涛转债,2017-02-06
103.04,100.000,司尔转债,2019-10-14
99.80,100.000,核建转债,2019-10-14
89.79,100.000,G三峡EB1,2020-04-13
